No.,Channel Name,RX Frequency,TX Frequency,Color Code,Time Slot
1,Bancroft,443.31250,448.31250,1,1
2,Bay City,443.81250,448.81250,1,1
3,Burnside,443.11250,448.11250,1,1
4,Byron Center,444.62500,449.62500,1,1
5,Cass City,442.08750,447.08750,1,1
6,Dansville,444.70000,449.70000,1,1
7,Detroit,444.00000,449.00000,1,1
8,Fenton,443.92500,448.92500,1,1
9,Flint,443.38750,448.38750,1,1
10,Frankenmuth,444.25000,449.25000,1,1
11,Grand Haven,443.60000,448.60000,1,1
12,Grand Rapids,444.25000,449.25000,1,1
13,Grass Lake,443.81250,448.81250,1,1
14,Greenville,443.38750,448.38750,1,1
15,Hackleburg,442.08750,447.08750,1,1
16,Hamilton,443.92500,448.92500,1,1
17,James TWP,443.60000,448.60000,1,1
18,Lansing,442.08750,447.08750,1,1
19,Lincoln,442.01250,447.01250,1,1
20,Lowell,443.11250,448.11250,1,1
21,Mackinaw/Leverin,444.62500,449.62500,1,1
22,Mayville,443.85000,448.85000,1,1
23,Midland,443.95000,448.95000,1,1
24,Milan,443.11250,448.11250,1,1
25,Mio,444.70000,449.70000,1,1
26,Muskegon,444.95000,449.95000,1,1
27,Morley,442.21250,447.21250,1,1
28,Mt.Clemens,443.95000,448.95000,1,1
29,Novi,442.21250,447.21250,1,1
30,Petoskey,444.25000,449.25000,1,1
31,Pinconning,444.62500,449.62500,1,1
32,Sault Ste. Marie,444.00000,449.00000,1,1
33,Southgate,443.32500,448.32500,1,1
34,Shepherd,442.01250,447.01250,1,1
35,West Olive,443.57500,448.57500,1,1
